{'delta': 0.026120000000000001, 'M1': 0.5, 'r2': 0.524}
{'delta': 0.026120000000000001, 'M1': 0.5, 'r2': 0.524}
{'delta': 0.026120000000000001, 'M1': 0.5, 'r2': 0.524}
{'delta': 0.026120000000000001, 'M1': 0.5, 'r2': 0.524}
{'delta': 0.026120000000000001, 'M1': 0.5, 'r2': 0.524}
{'delta': 0.026120000000000001, 'M1': 0.5, 'r2': 0.524}
{'delta': 0.026120000000000001, 'M1': 0.5, 'r2': 0.524}
{'delta': 0.026120000000000001, 'M1': 0.5, 'r2': 0.524}
{'delta': 0.026120000000000001, 'M1': 0.5, 'r2': 0.524}
{'delta': 0.026120000000000001, 'M1': 0.5, 'r2': 0.524}
{'delta': 0.026120000000000001, 'M1': 0.5, 'r2': 0.524}
{'delta': 0.026120000000000001, 'M1': 0.5, 'r2': 0.524}
{'delta': 0.026110000000000001, 'M1': 0.5, 'r2': 0.525}
{'delta': 0.026110000000000001, 'M1': 0.5, 'r2': 0.525}
{'delta': 0.026110000000000001, 'M1': 0.5, 'r2': 0.525}
{'delta': 0.026110000000000001, 'M1': 0.5, 'r2': 0.525}
{'delta': 0.026110000000000001, 'M1': 0.5, 'r2': 0.525}
{'delta': 0.026110000000000001, 'M1': 0.5, 'r2': 0.525}
{'delta': 0.026110000000000001, 'M1': 0.5, 'r2': 0.525}
{'delta': 0.026110000000000001, 'M1': 0.5, 'r2': 0.525}
{'delta': 0.026110000000000001, 'M1': 0.5, 'r2': 0.525}
{'delta': 0.026110000000000001, 'M1': 0.5, 'r2': 0.525}
{'delta': 0.026110000000000001, 'M1': 0.5, 'r2': 0.525}
{'delta': 0.026110000000000001, 'M1': 0.5, 'r2': 0.525}
{'delta': 0.026110000000000001, 'M1': 0.5, 'r2': 0.525}
{'delta': 0.026110000000000001, 'M1': 0.5, 'r2': 0.525}
{'delta': 0.026110000000000001, 'M1': 0.5, 'r2': 0.525}
{'delta': 0.026100000000000002, 'M1': 0.5, 'r2': 0.526}
{'delta': 0.026100000000000002, 'M1': 0.5, 'r2': 0.526}
{'delta': 0.026100000000000002, 'M1': 0.5, 'r2': 0.526}
{'delta': 0.026100000000000002, 'M1': 0.5, 'r2': 0.526}
