{'delta': 0.031510000000000003, 'M1': 0.1, 'r2': 0.518}
{'delta': 0.031510000000000003, 'M1': 0.1, 'r2': 0.518}
{'delta': 0.031510000000000003, 'M1': 0.1, 'r2': 0.518}
{'delta': 0.031510000000000003, 'M1': 0.1, 'r2': 0.518}
{'delta': 0.031510000000000003, 'M1': 0.1, 'r2': 0.518}
{'delta': 0.031510000000000003, 'M1': 0.1, 'r2': 0.518}
{'delta': 0.031510000000000003, 'M1': 0.1, 'r2': 0.518}
{'delta': 0.031510000000000003, 'M1': 0.1, 'r2': 0.518}
{'delta': 0.031510000000000003, 'M1': 0.1, 'r2': 0.518}
{'delta': 0.031510000000000003, 'M1': 0.1, 'r2': 0.518}
{'delta': 0.031510000000000003, 'M1': 0.1, 'r2': 0.518}
{'delta': 0.031480000000000001, 'M1': 0.1, 'r2': 0.519}
{'delta': 0.031480000000000001, 'M1': 0.1, 'r2': 0.519}
{'delta': 0.031480000000000001, 'M1': 0.1, 'r2': 0.519}
{'delta': 0.031480000000000001, 'M1': 0.1, 'r2': 0.519}
{'delta': 0.031480000000000001, 'M1': 0.1, 'r2': 0.519}
{'delta': 0.031480000000000001, 'M1': 0.1, 'r2': 0.519}
{'delta': 0.031480000000000001, 'M1': 0.1, 'r2': 0.519}
{'delta': 0.031480000000000001, 'M1': 0.1, 'r2': 0.519}
{'delta': 0.031480000000000001, 'M1': 0.1, 'r2': 0.519}
{'delta': 0.031480000000000001, 'M1': 0.1, 'r2': 0.519}
{'delta': 0.031480000000000001, 'M1': 0.1, 'r2': 0.519}
{'delta': 0.031480000000000001, 'M1': 0.1, 'r2': 0.519}
{'delta': 0.031480000000000001, 'M1': 0.1, 'r2': 0.519}
{'delta': 0.031480000000000001, 'M1': 0.1, 'r2': 0.519}
{'delta': 0.031480000000000001, 'M1': 0.1, 'r2': 0.519}
{'delta': 0.031440000000000003, 'M1': 0.1, 'r2': 0.52}
{'delta': 0.031440000000000003, 'M1': 0.1, 'r2': 0.52}
{'delta': 0.031440000000000003, 'M1': 0.1, 'r2': 0.52}
{'delta': 0.031440000000000003, 'M1': 0.1, 'r2': 0.52}
{'delta': 0.031440000000000003, 'M1': 0.1, 'r2': 0.52}
{'delta': 0.031440000000000003, 'M1': 0.1, 'r2': 0.52}
{'delta': 0.031440000000000003, 'M1': 0.1, 'r2': 0.52}
{'delta': 0.031440000000000003, 'M1': 0.1, 'r2': 0.52}
{'delta': 0.031440000000000003, 'M1': 0.1, 'r2': 0.52}
{'delta': 0.031440000000000003, 'M1': 0.1, 'r2': 0.52}
{'delta': 0.031440000000000003, 'M1': 0.1, 'r2': 0.52}
{'delta': 0.031440000000000003, 'M1': 0.1, 'r2': 0.52}
{'delta': 0.031440000000000003, 'M1': 0.1, 'r2': 0.52}
{'delta': 0.031440000000000003, 'M1': 0.1, 'r2': 0.52}
{'delta': 0.031440000000000003, 'M1': 0.1, 'r2': 0.52}
{'delta': 0.03141, 'M1': 0.1, 'r2': 0.521}
{'delta': 0.03141, 'M1': 0.1, 'r2': 0.521}
{'delta': 0.03141, 'M1': 0.1, 'r2': 0.521}
{'delta': 0.03141, 'M1': 0.1, 'r2': 0.521}
{'delta': 0.03141, 'M1': 0.1, 'r2': 0.521}
{'delta': 0.03141, 'M1': 0.1, 'r2': 0.521}
{'delta': 0.03141, 'M1': 0.1, 'r2': 0.521}
{'delta': 0.03141, 'M1': 0.1, 'r2': 0.521}
{'delta': 0.03141, 'M1': 0.1, 'r2': 0.521}
{'delta': 0.03141, 'M1': 0.1, 'r2': 0.521}
{'delta': 0.03141, 'M1': 0.1, 'r2': 0.521}
{'delta': 0.03141, 'M1': 0.1, 'r2': 0.521}
{'delta': 0.03141, 'M1': 0.1, 'r2': 0.521}
{'delta': 0.03141, 'M1': 0.1, 'r2': 0.521}
{'delta': 0.03141, 'M1': 0.1, 'r2': 0.521}
{'delta': 0.031370000000000002, 'M1': 0.1, 'r2': 0.522}
{'delta': 0.031370000000000002, 'M1': 0.1, 'r2': 0.522}
{'delta': 0.031370000000000002, 'M1': 0.1, 'r2': 0.522}
{'delta': 0.031370000000000002, 'M1': 0.1, 'r2': 0.522}
{'delta': 0.031370000000000002, 'M1': 0.1, 'r2': 0.522}
{'delta': 0.031370000000000002, 'M1': 0.1, 'r2': 0.522}
{'delta': 0.031370000000000002, 'M1': 0.1, 'r2': 0.522}
{'delta': 0.031370000000000002, 'M1': 0.1, 'r2': 0.522}
{'delta': 0.031370000000000002, 'M1': 0.1, 'r2': 0.522}
{'delta': 0.031370000000000002, 'M1': 0.1, 'r2': 0.522}
{'delta': 0.031370000000000002, 'M1': 0.1, 'r2': 0.522}
{'delta': 0.031370000000000002, 'M1': 0.1, 'r2': 0.522}
{'delta': 0.031370000000000002, 'M1': 0.1, 'r2': 0.522}
{'delta': 0.031370000000000002, 'M1': 0.1, 'r2': 0.522}
{'delta': 0.031370000000000002, 'M1': 0.1, 'r2': 0.522}
{'delta': 0.03134, 'M1': 0.1, 'r2': 0.523}
{'delta': 0.03134, 'M1': 0.1, 'r2': 0.523}
{'delta': 0.03134, 'M1': 0.1, 'r2': 0.523}
{'delta': 0.03134, 'M1': 0.1, 'r2': 0.523}
{'delta': 0.03134, 'M1': 0.1, 'r2': 0.523}
{'delta': 0.03134, 'M1': 0.1, 'r2': 0.523}
{'delta': 0.03134, 'M1': 0.1, 'r2': 0.523}
{'delta': 0.03134, 'M1': 0.1, 'r2': 0.523}
{'delta': 0.03134, 'M1': 0.1, 'r2': 0.523}
{'delta': 0.03134, 'M1': 0.1, 'r2': 0.523}
{'delta': 0.03134, 'M1': 0.1, 'r2': 0.523}
{'delta': 0.03134, 'M1': 0.1, 'r2': 0.523}
{'delta': 0.03134, 'M1': 0.1, 'r2': 0.523}
{'delta': 0.03134, 'M1': 0.1, 'r2': 0.523}
{'delta': 0.03134, 'M1': 0.1, 'r2': 0.523}
{'delta': 0.031309999999999998, 'M1': 0.1, 'r2': 0.524}
{'delta': 0.031309999999999998, 'M1': 0.1, 'r2': 0.524}
{'delta': 0.031309999999999998, 'M1': 0.1, 'r2': 0.524}
{'delta': 0.031309999999999998, 'M1': 0.1, 'r2': 0.524}
{'delta': 0.031309999999999998, 'M1': 0.1, 'r2': 0.524}
{'delta': 0.031309999999999998, 'M1': 0.1, 'r2': 0.524}
{'delta': 0.031309999999999998, 'M1': 0.1, 'r2': 0.524}
{'delta': 0.031309999999999998, 'M1': 0.1, 'r2': 0.524}
{'delta': 0.031309999999999998, 'M1': 0.1, 'r2': 0.524}
{'delta': 0.031309999999999998, 'M1': 0.1, 'r2': 0.524}
{'delta': 0.031309999999999998, 'M1': 0.1, 'r2': 0.524}
{'delta': 0.031309999999999998, 'M1': 0.1, 'r2': 0.524}
{'delta': 0.031309999999999998, 'M1': 0.1, 'r2': 0.524}
{'delta': 0.031309999999999998, 'M1': 0.1, 'r2': 0.524}
{'delta': 0.031309999999999998, 'M1': 0.1, 'r2': 0.524}
{'delta': 0.031269999999999999, 'M1': 0.1, 'r2': 0.525}
{'delta': 0.031269999999999999, 'M1': 0.1, 'r2': 0.525}
{'delta': 0.031269999999999999, 'M1': 0.1, 'r2': 0.525}
{'delta': 0.031269999999999999, 'M1': 0.1, 'r2': 0.525}
{'delta': 0.031269999999999999, 'M1': 0.1, 'r2': 0.525}
{'delta': 0.031269999999999999, 'M1': 0.1, 'r2': 0.525}
{'delta': 0.031269999999999999, 'M1': 0.1, 'r2': 0.525}
{'delta': 0.031269999999999999, 'M1': 0.1, 'r2': 0.525}
{'delta': 0.031269999999999999, 'M1': 0.1, 'r2': 0.525}
